"Whip It (2009 Remaster)","Devo","Freedom of Choice (2009 Remaster; Deluxe Edition)","People Jams","Playlist","USWB10903962"
"Who Can It Be Now?","Men At Work","Business As Usual","People Jams","Playlist","NLB638140001"
"Once in a Lifetime","Talking Heads","Remain in Light","People Jams","Playlist","USWB19900867"
"Day Tripper","The Beatles","1","People Jams","Playlist","GBUM71505892"
"Everywhere","Fleetwood Mac","Tango in the Night","People Jams","Playlist","USRH11602189"
"Rock the Casbah","The Clash","Combat Rock","People Jams","Playlist","GBBBN8200023"
"What a Fool Believes","The Doobie Brothers","Minute by Minute","People Jams","Playlist","USWB10902441"
"Ventura Highway","America","Homecoming","People Jams","Playlist","USWB19901795"
"American Girl","Tom Petty And The Heartbreakers","Tom Petty And The Heartbreakers","People Jams","Playlist","USMC17641688"
"Margaritaville","Jimmy Buffett","Changes In Latitudes, Changes In Attitudes","People Jams","Playlist","USMC17601193"
"Bennie And The Jets","Elton John","Goodbye Yellow Brick Road","People Jams","Playlist","GBUM71304955"
"Roam","The B-52's","Cosmic Thing (30th Anniversary Expanded Edition)","People Jams","Playlist","USRH11901964"
"Video Killed The Radio Star","The Buggles","The Age Of Plastic","People Jams","Playlist","GBAAN7900013"
"Rebel Rebel","David Bowie","Diamond Dogs","People Jams","Playlist","USJT11600006"
"Dancing with Myself (2001 Remaster)","Billy Idol","Anthology","People Jams","Playlist","GBAYK0100065"
"Nothin' But A Good Time","Poison","Open Up And Say . . . Ahh!","People Jams","Playlist","USCA28800138"
"Kokomo","The Beach Boys","Made In California","People Jams","Playlist","USNPD0713481"
"The Boys Of Summer","Don Henley","Building The Perfect Beast","People Jams","Playlist","USGF18502601"
"Wheel in the Sky","Journey","Infinity","People Jams","Playlist","USSM17800105"
"Cherry Pie","Warrant","Cherry Pie (Expanded Edition)","People Jams","Playlist","USSM10006917"
"Running on Empty","Jackson Browne","Running on Empty(Remastered)","People Jams","Playlist","USRH11800069"
"Free Ride","The Edgar Winter Group","They Only Come Out At Night","People Jams","Playlist","USSM17200422"
"Ahead By A Century","The Tragically Hip","Trouble At The Henhouse","People Jams","Playlist","CAM199600015"
"Gloria","Laura Branigan","Branigan","People Jams","Playlist","USAT28400033"
"Message In A Bottle","The Police","Reggatta De Blanc (Remastered 2003)","People Jams","Playlist","GBAAM0201170"
"Summer of 69 (Classic Version)","Bryan Adams","Classic","People Jams","Playlist","US23A1515535"
"Crazy Little Thing Called Love","Queen","The Game","People Jams","Playlist","GBUM71029612"
"Years In The Making","Arkells","Blink Once","People Jams","Playlist","CAGGP2000001"
"Danger Zone (From ""Top Gun"" Original Soundtrack)","Kenny Loggins","Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins","People Jams","Playlist","USSM18600108"
"Stayin Alive","Bee Gees","How Can You Mend A Broken Heart","People Jams","Playlist","USRH10721057"
"Hooked On A Feeling","Blue Swede","Hooked On A Feeling: 40th Anniversary Collection","People Jams","Playlist","SEAMA7343050"
"Hotel California","Eagles","Hotel California","People Jams","Playlist","USEE11300353"
"Africa","Toto","Toto IV","People Jams","Playlist","USSM19801941"
"Walking On Sunshine","Katrina & The Waves","Katrina & The Waves","People Jams","Playlist","USCA28500452"
"Ain't No Mountain High Enough","Marvin Gaye","United","People Jams","Playlist","USMO16700534"
"Got My Mind Set on You","George Harrison","Cloud Nine","People Jams","Playlist","GBEXP0300054"
"Mrs. Robinson (From ""The Graduate"" Soundtrack)","Simon & Garfunkel","Bookends","People Jams","Playlist","USSM16800379"
"Black or White (Single Version)","Michael Jackson","Number Ones","People Jams","Playlist","USSM10312784"
"September","Earth, Wind & Fire","New Year's Eve - NYE 2018/2019","People Jams","Playlist","USSM17800253"
"Take on Me","a-ha","Hunting High and Low","People Jams","Playlist","USWB19901214"
"Break My Stride","Matthew Wilder","I Don't Speak The Language","People Jams","Playlist","USSM18300576"
"Great Balls Of Fire","Jerry Lee Lewis","Jerry Lee's Greatest","People Jams","Playlist","USSE60370213"
"Livin' On A Prayer","Bon Jovi","Slippery When Wet","People Jams","Playlist","USPR38619998"
"Billie Jean","Michael Jackson","Thriller 25 Super Deluxe Edition","People Jams","Playlist","USSM19902991"
"Hold the Line","Toto","Toto","People Jams","Playlist","USSM17800444"
"Panama","Van Halen","1984","People Jams","Playlist","USWB11403681"
"I Ain't Worried","OneRepublic","I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")","People Jams","Playlist","USUM72206227"
"We Didn't Start the Fire","Billy Joel","Storm Front","People Jams","Playlist","USSM18900217"
"Wake Me Up Before You Go-Go","Wham!","Make It Big","People Jams","Playlist","GBBBN0009712"
"Sweet Caroline","Neil Diamond","50th Anniversary Collection","People Jams","Playlist","USMC16991138"
"I'm Still Standing","Elton John","Too Low For Zero","People Jams","Playlist","GBALX8300190"
"Don't Stop Believin' (2022 Remaster)","Journey","Escape (2022 Remaster)","People Jams","Playlist","USSM18100116"
"Y.M.C.A.","Village People","Cruisin'","People Jams","Playlist","USPR37800001"
"Jump","Van Halen","1984","People Jams","Playlist","USWB11403680"
"Celebration","Kool & The Gang","Celebrate!","People Jams","Playlist","USPR38007190"
"The Power Of Love","Huey Lewis & The News","Greatest Hits:  Huey Lewis And The News","People Jams","Playlist","USCA20600519"
"Wanted Dead Or Alive","Bon Jovi","Slippery When Wet","People Jams","Playlist","USPR39402222"
"HIGHER","Bishop Briggs","HIGHER","People Jams","Playlist","USUG12002193"
"1975","Silent Child","Paranoid Optimist","People Jams","Playlist","CA6D22200225"
"Escape (The Pina Colada Song)","Rupert Holmes","Partners In Crime","People Jams","Playlist","USMC17948997"
"You Make My Dreams (Come True)","Daryl Hall & John Oates","Voices","People Jams","Playlist","USRC10301828"
"You Give Love A Bad Name","Bon Jovi","Slippery When Wet","People Jams","Playlist","USPR39402224"
"Build Me Up Buttercup (Mono)","The Foundations","Baby Now That I've Found You","People Jams","Playlist","GBAJE6800059"
"Down Under","Men At Work","Business As Usual","People Jams","Playlist","USSM18100411"
"Piano Man","Billy Joel","Piano Man (Legacy Edition)","People Jams","Playlist","USSM17300504"
"All Summer Long","Kid Rock","Rock n Roll Jesus","People Jams","Playlist","USAT20704333"
"Greased Lightnin' (From “Grease”)","John Travolta","Grease (The Original Motion Picture Soundtrack)","People Jams","Playlist","NLF057890008"
"Blame It on the Boogie","The Jacksons","Destiny","People Jams","Playlist","USSM17801024"
"Paradise City","Guns N' Roses","Appetite For Destruction","People Jams","Playlist","USGF18714806"
"Gangsta's Paradise","Coolio","Gangsta's Paradise","People Jams","Playlist","USTB10400128"
"Feel It Still","Portugal. The Man","Woodstock","People Jams","Playlist","USAT21700437"
"Dancing in the Moonlight","Toploader","Onka's Big Moka","People Jams","Playlist","GBBBL9902165"
"You Should Be Dancing","Bee Gees","The Ultimate Bee Gees","People Jams","Playlist","USRH10722668"
"Moves Like Jagger","Maroon 5","Singles","People Jams","Playlist","USUM71109132"
"Don't Stop Me Now","Queen","Golf Hits","People Jams","Playlist","GBCEG7800014"
"Johnny B. Goode","Chuck Berry","Berry Is On Top","People Jams","Playlist","USMC15719963"
"Get Lucky (Radio Edit - feat. Pharrell Williams and Nile Rodgers)","Daft Punk","Get Lucky (Radio Edit - feat. Pharrell Williams and Nile Rodgers)","People Jams","Playlist","USQX91300809"
"What I Like About You","The Romantics","What I Like About You                   (And Other Romantic Hits)","People Jams","Playlist","USSM10020612"
"Sh-Boom","The Chords","Jukebox Rock","People Jams","Playlist","USAT20703265"
"Happy (From ""Despicable Me 2"")","Pharrell Williams","G I R L","People Jams","Playlist","USQ4E1300686"
"Lean on Me","Bill Withers","Lean on Me: The Best of Bill Withers","People Jams","Playlist","USSM17200084"
"Let's Get It Started","The Black Eyed Peas","NOW 2000's (2000-2005)","People Jams","Playlist","USIR10400344"
"Mambo No. 5 (a Little Bit of...)","Lou Bega","A Little Bit of Mambo","People Jams","Playlist","DEH259900010"
"Pompeii","Bastille","All This Bad Blood","People Jams","Playlist","GBAAA1200795"
"Safe And Sound","Capital Cities","30 Top Pop Hits","People Jams","Playlist","USCA21203108"
"Hall of Fame","The Script","#3","People Jams","Playlist","GBARL1201055"
"Another One Bites The Dust","Queen","Rock para estallar los parlantes","People Jams","Playlist","GBCEE8000027"
"Bohemian Rhapsody","Queen","Este Es El Rock Que Necesito","People Jams","Playlist","GBCEE0500364"
"Rock with You (Single Version)","Michael Jackson","Off the Wall","People Jams","Playlist","USSM17900817"
"Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition","People Jams","Playlist","USSM19902990"
"Cake By The Ocean","DNCE","DNCE","People Jams","Playlist","USUM71514637"
"Dream On","Aerosmith","Aerosmith","People Jams","Playlist","USSM10011897"
"I Got You (1964 Smash Version)","James Brown","Get On Up - The James Brown Story","People Jams","Playlist","USF066500010"
"Walk Of Life","Dire Straits","The Best Of Dire Straits & Mark Knopfler - Private Investigations","People Jams","Playlist","GBF088500675"
"Cooler Than Me (Single Mix)","Mike Posner","31 Minutes to Takeoff","People Jams","Playlist","USJAY1000035"
"Love Me Again","John Newman","Tribute","People Jams","Playlist","GBUM71301538"
"Out of My League","Fitz and The Tantrums","More Than Just a Dream (Deluxe Edition)","People Jams","Playlist","USAT21300149"
"The Walker","Fitz and The Tantrums","More Than Just a Dream (Deluxe Edition)","People Jams","Playlist","USAT21300240"
"Glad You Came","The Wanted","The Wanted (Special Edition)","People Jams","Playlist","GBUM71107952"
"Notion","The Rare Occasions","Notion","People Jams","Playlist","USHM21617726"
"Forget You","CeeLo Green","The Lady Killer (Deluxe)","People Jams","Playlist","USAT21001778"
"On Top Of The World","Imagine Dragons","Night Visions (Expanded Edition / Super Deluxe)","People Jams","Playlist","USUM71201073"
"Some Nights","fun.","Some Nights","People Jams","Playlist","USAT21104050"
"Black Betty","Ram Jam","Ram Jam","People Jams","Playlist","USSM10211288"
"Everybody Talks","Neon Trees","Picture Show","People Jams","Playlist","USUM71119189"
"It's Still Rock and Roll to Me","Billy Joel","Glass Houses","People Jams","Playlist","USSM18000211"
"Fly Me To The Moon (2008 Remastered)","Frank Sinatra","Nothing But The Best (2008 Remastered)","People Jams","Playlist","USRH10723029"
"You Really Got Me","Van Halen","Van Halen","People Jams","Playlist","USWB11403670"
"Do I Wanna Know?","Arctic Monkeys","AM","People Jams","Playlist","GBCEL1300362"
"Killer Queen","Queen","Sheer Heart Attack","People Jams","Playlist","GBUM71029606"
"Blurred Lines","Robin Thicke","Blurred Lines (Deluxe)","People Jams","Playlist","USUM71307668"
"Eye of the Tiger","Survivor","Rocky IV","People Jams","Playlist","USVR19600010"
"My Generation","The Who","Minions (Original Motion Picture Soundtrack)","People Jams","Playlist","GBUM71406026"
"Somebody To Love","Queen","A Day At The Races","People Jams","Playlist","GBUM71029613"
"Stop Loving You","Toto","The Seventh One","People Jams","Playlist","USSM18700225"
"Here Comes The Feeling","Asia","Asia","People Jams","Playlist","USGF18200809"
"Everybody Wants To Rule The World","Tears For Fears","Songs From The Big Chair","People Jams","Playlist","GBF088590110"
"Troublemaker","Olly Murs","Right Place Right Time (Expanded Edition)","People Jams","Playlist","GBARL1201891"
"I Want You Back","Jackson 5","Diana Ross Presents The Jackson 5","People Jams","Playlist","USMO19400306"
"Any Way You Want It","Journey","Departure","People Jams","Playlist","USSM18100114"
"Here Comes The Sun (Remastered 2009)","The Beatles","Abbey Road","People Jams","Playlist","GBAYE0601696"
"Sultans Of Swing","Dire Straits","The Best Of Dire Straits & Mark Knopfler - Private Investigations","People Jams","Playlist","GBF089601041"
"Sweet Child O' Mine","Guns N' Roses","Appetite For Destruction","People Jams","Playlist","USGF18714809"
"Let's Groove","Earth, Wind & Fire","Raise!","People Jams","Playlist","USSM18100641"
"Faith","George Michael","Faith","People Jams","Playlist","GBARL1000855"
"Superstition (Single Version)","Stevie Wonder","The Definitive Collection","People Jams","Playlist","USMO10000310"
"Sweet Dreams (Are Made of This) (2005 Remaster)","Eurythmics","Kinds of Kindness (Original Motion Picture Soundtrack)","People Jams","Playlist","GBARL0300589"
"Don't Bring Me Down","Electric Light Orchestra","Discovery","People Jams","Playlist","USSM10015734"
"Welcome To The Jungle","Guns N' Roses","Appetite For Destruction","People Jams","Playlist","USGF18714801"
"Therapy","Conro","Level Days","People Jams","Playlist","CA6D22000083"
"My Way","Frank Sinatra","My Way (Expanded Edition)","People Jams","Playlist","USRH10902101"
"That's Life","Frank Sinatra","That's Life","People Jams","Playlist","USRH10800967"
"You Shook Me All Night Long","AC/DC","Back In Black","People Jams","Playlist","AUAP08000047"
"Back In Black","AC/DC","Back In Black","People Jams","Playlist","AUAP08000046"
"Sir Duke","Stevie Wonder","Songs In The Key Of Life","People Jams","Playlist","USMO17600526"
"Signed, Sealed, Delivered (I'm Yours)","Stevie Wonder","Signed Sealed And Delivered","People Jams","Playlist","USMO17082643"
"I Just Called To Say I Love You","Stevie Wonder","At The Close Of A Century","People Jams","Playlist","USUMG9900476"
"Rude","MAGIC!","Don't Kill the Magic","People Jams","Playlist","CAV161300016"
"Angeleyes","ABBA","Voulez-Vous","People Jams","Playlist","SEAYD7901040"
"Smooth Operator (Single Version)","Sade","The Best of Sade","People Jams","Playlist","GBBBM8400016"
"Dancing Queen","ABBA","Arrival","People Jams","Playlist","SEAYD7601020"
"Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA","Voulez-Vous","People Jams","Playlist","SEAYD7901120"
"Mamma Mia","ABBA","Abba","People Jams","Playlist","SEAYD7501010"
"Lay All Your Love On Me","ABBA","Super Trouper","People Jams","Playlist","SEAYD8001090"
